Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710494220000,1.266300,1.270500,1.262600,1.270500,67252,1710494279999,85184.319700,743,37189,1710485040000,1.3463
1710494280000,1.270200,1.275100,1.266300,1.273900,48645,1710494339999,61803.124000,630,28657,1710485040000,1.3463
1710494340000,1.274100,1.279200,1.273400,1.279100,44293,1710494399999,56518.062800,532,23711,1710485040000,1.3463
1710494400000,1.278600,1.279800,1.276600,1.277900,40833,1710494459999,52192.726500,478,16465,1710485040000,1.3463
1710494460000,1.278300,1.285500,1.278300,1.285500,36270,1710494519999,46441.117100,481,23379,1710485040000,1.3463
1710494520000,1.284400,1.292700,1.283800,1.290800,78664,1710494579999,101513.697600,633,28369,1710485040000,1.3463
1710494580000,1.290600,1.293800,1.289300,1.292900,19952,1710494639999,25770.981300,389,14602,1710485040000,1.3463
1710494640000,1.292900,1.294300,1.287800,1.294000,64819,1710494699999,83673.622500,411,47354,1710485040000,1.3463
1710494700000,1.294000,1.299300,1.293700,1.298100,31487,1710494759999,40842.005400,429,12903,1710485040000,1.3463
1710494760000,1.298500,1.299900,1.294600,1.297600,67831,1710494819999,87960.694900,571,50353,1710485040000,1.3463
1710494820000,1.297200,1.298400,1.293700,1.294300,18986,1710494879999,24607.890600,289,8633,1710485040000,1.3463
1710494880000,1.294400,1.294700,1.286300,1.287800,60582,1710494939999,78130.858200,594,18550,1710485040000,1.3463
1710494940000,1.288000,1.289400,1.283300,1.289400,26527,1710494999999,34121.916000,396,10588,1710485040000,1.3463
1710495000000,1.289400,1.295200,1.288200,1.294800,25298,1710495059999,32681.324600,435,14861,1710485040000,1.3463
1710495060000,1.294500,1.295500,1.291400,1.292600,28828,1710495119999,37293.832800,423,12734,1710485040000,1.3463
1710495120000,1.293000,1.294500,1.281000,1.284100,65884,1710495179999,84694.166800,439,14398,1710485040000,1.3463
1710495180000,1.284500,1.287700,1.278400,1.287700,50096,1710495239999,64229.390000,555,28771,1710485040000,1.3463
1710495240000,1.287400,1.296900,1.285400,1.294800,57841,1710495299999,74670.912500,582,29470,1710485040000,1.3463
1710495300000,1.295400,1.300000,1.293100,1.299000,25140,1710495359999,32602.024700,416,14317,1710485040000,1.3463
1710495360000,1.298800,1.301500,1.297500,1.300500,17476,1710495419999,22711.405100,359,9657,1710485040000,1.3463
1710495420000,1.300500,1.301300,1.296900,1.300200,14153,1710495479999,18387.827400,329,5818,1710485040000,1.3463
1710495480000,1.300000,1.307200,1.299300,1.306200,21313,1710495539999,27779.018600,381,11010,1710485040000,1.3463
1710495540000,1.306600,1.309500,1.303500,1.308000,110713,1710495599999,144625.419900,764,69460,1710485040000,1.3463
1710495600000,1.308100,1.308700,1.301700,1.306000,31134,1710495659999,40625.178500,439,10318,1710485040000,1.3463
1710495660000,1.305900,1.308300,1.305600,1.308100,10178,1710495719999,13305.609400,192,4707,1710485040000,1.3463
1710495720000,1.307900,1.309700,1.307200,1.309300,18456,1710495779999,24145.370000,224,5071,1710485040000,1.3463
1710495780000,1.309500,1.311000,1.305200,1.307200,26835,1710495839999,35101.597500,404,10702,1710485040000,1.3463
1710495840000,1.307300,1.309600,1.306700,1.309200,10799,1710495899999,14133.136700,176,4661,1710485040000,1.3463
